	B19	B18	A4	A29	A10	B13	B17	A14	A30	B12	A12	A16	B21	A19	B24	A5	B14	B26	A3	A27	A9	B28	B4	A22	B2	B1	A31	A17	A20	A28	B10	A26	B11	B29	B9	A18	A15	B8	B3	A24	B25	B15	A6	B27	A1	B20	A7	B16	A13	A8	A32	A25	B6	B7	A2	B23
B19	0.0	0.34372174	0.349139847333	0.256445794667	0.454298928	0.652645060667	0.556963386	0.423316328	0.439376825333	0.361170518	0.42755853	0.292545881333	0.338360869333	0.304962223333	0.356764301333	0.2414116	0.274354803333	0.23244562	0.292892456	0.281902188667	0.280441678667	0.289987084	0.589448089333	0.426313532667	0.333849437333	0.279956704667	0.327389076	0.236557332	0.290773348	0.384558294	0.286705199333	0.286600953333	0.290140087333	0.323812103333	0.293668620667	0.262131197333	0.292639240667	0.442974684	0.27443523	0.46280869	0.272174432	0.331241341333	0.275770876667	0.481615652	0.665973934667	0.675489448	0.344258882667	0.278822824	0.328794376667	0.275355418	0.462880793333	0.25060945	0.297796652667	0.329295293333	0.300927492667	0.303822382667
B18	0.34372174	0.0	0.341637643333	0.237596349333	0.391537189333	0.519272639333	0.504704772667	0.234021729333	0.220167702667	0.305204938	0.243739734	0.273411069333	0.248113505333	0.333503663333	0.489242665333	0.416634126667	0.350127636667	0.344863282667	0.499481326667	0.320330698	0.22009666	0.292210968	0.567888385333	0.351119655333	0.331937106667	0.374574454	0.290400912	0.184579694667	0.30929236	0.325888448667	0.288620244667	0.283979753333	0.349345635333	0.308513836667	0.280468815333	0.313112429333	0.205174854	0.254130837333	0.170478698	0.275440938	0.195249358667	0.309362230667	0.354406091333	0.358034413333	0.580090986667	0.579931213333	0.422721182667	0.204839401333	0.204584316667	0.28721633	0.249522825333	0.297199138	0.387621103333	0.376489813333	0.200254382	0.3724247
A4	0.349139847333	0.341637643333	0.0	0.213000634	0.520283492667	0.688912013333	0.67667776	0.437156355333	0.444352744667	0.481622272	0.456447132	0.251671822	0.434394568667	0.217045738667	0.415134698	0.335418603333	0.371295886667	0.253011232667	0.395531931333	0.193349182667	0.206886294	0.331694598	0.706963486	0.433213701333	0.176688544667	0.319595902667	0.410710032667	0.326908426	0.170499279333	0.426883164	0.168293373333	0.206173094	0.331173649333	0.153570464	0.175387425333	0.23612731	0.297431118667	0.456670082	0.3389756	0.470910706667	0.306199586	0.276960099333	0.286518198667	0.562829343333	0.742353863333	0.768048192667	0.227474802	0.21368567	0.279457717333	0.203794437333	0.471536235333	0.368788334667	0.238215522667	0.281525172667	0.236453012	0.246663072667
A29	0.256445794667	0.237596349333	0.213000634	0.0	0.439694154667	0.578697334	0.547461576667	0.331416833333	0.340110812	0.356440638	0.342032254	0.254256990667	0.313980142667	0.160092059333	0.393137661333	0.317036493333	0.28450767	0.202342792	0.386329217333	0.147891146	0.104590397333	0.272254113333	0.597119670667	0.334617443333	0.215614138667	0.275762314	0.276204804	0.193502346667	0.131036430667	0.313040456667	0.165304023333	0.176122242667	0.233227751333	0.175901768667	0.145600576667	0.210796608	0.175358135333	0.351548570667	0.176872468667	0.370159312667	0.189294689333	0.254010753333	0.282763763333	0.449938137333	0.627393470667	0.672649154667	0.272009801333	0.122633222667	0.202566114	0.160866172667	0.372293056	0.238413902	0.207788667333	0.191381401333	0.141635732667	0.26440574
A10	0.454298928	0.391537189333	0.520283492667	0.439694154667	0.0	0.446816295333	0.245553791333	0.266148061333	0.254139669333	0.20155615	0.244315834	0.562010954667	0.273197049333	0.493657603333	0.610301732	0.501715870667	0.441015260667	0.504109669333	0.543218770667	0.526997714	0.421831589333	0.570236809333	0.421671177333	0.315243423333	0.554758370667	0.58762441	0.480123565333	0.417590262667	0.490128692	0.343514515333	0.472714683333	0.505016124	0.386767928667	0.520075260667	0.534696618	0.573471933333	0.462399806	0.266473584	0.407497211333	0.413664806	0.314103746667	0.591636194667	0.592268196667	0.202261521333	0.45457364	0.328082364	0.521568381333	0.410446133333	0.308602622	0.531021896667	0.387426158667	0.427059072667	0.474425584667	0.568421437333	0.363912940667	0.416871602667
B13	0.652645060667	0.519272639333	0.688912013333	0.578697334	0.446816295333	0.0	0.422838590667	0.382149092667	0.367959006	0.437184488	0.358567605333	0.63641877	0.438989403333	0.670478468	0.77660993	0.674383743333	0.580583758667	0.663881919333	0.783586858	0.644747509333	0.565543967333	0.581345992667	0.158152391333	0.379949045333	0.665497214	0.713176208	0.49211087	0.51186949	0.638519202	0.394450561333	0.622259501333	0.630014578	0.661497376	0.644268692	0.645385405333	0.668293986	0.491778077333	0.370401335333	0.508707497333	0.325505576	0.541368068667	0.660987954	0.658059104	0.342114247333	0.134734623333	0.456597619333	0.740300156667	0.553724135333	0.504951092	0.645566238667	0.466460263333	0.603613388	0.705549293333	0.675423380667	0.533481272	0.694781936667
B17	0.556963386	0.504704772667	0.67667776	0.547461576667	0.245553791333	0.422838590667	0.0	0.357588024667	0.351588919333	0.301733149333	0.319146630667	0.658485462	0.358462511333	0.567911009333	0.670692291333	0.580032247333	0.591444262667	0.595732756667	0.620059836667	0.633990142667	0.545112696667	0.643258672667	0.406689723333	0.468924390667	0.706833315333	0.635751185333	0.525473744667	0.497000900667	0.613601796667	0.485468573333	0.638970084	0.587334992667	0.470211429333	0.660415953333	0.656813221333	0.635705296667	0.5839641	0.352236292667	0.464636718667	0.502603024	0.458491804667	0.676757919333	0.671652753333	0.270485156667	0.394711258	0.245760706	0.664558072667	0.567909815333	0.455698544	0.616486088	0.491555175333	0.503897997333	0.566766621333	0.651970642	0.530133652	0.583106372667
A14	0.423316328	0.234021729333	0.437156355333	0.331416833333	0.266148061333	0.382149092667	0.357588024667	0.0	0.154961956	0.194861284667	0.131829254	0.413051022667	0.195321873333	0.428497158	0.541894326667	0.467354677333	0.432618331333	0.427702917333	0.563549538667	0.418303347333	0.297960604	0.402041222667	0.434781821333	0.280716219333	0.449740772	0.491353163333	0.366846656	0.285992662667	0.404017352	0.291652807333	0.382282120667	0.395772449333	0.416704991333	0.412586798	0.405755552667	0.433412561333	0.34262645	0.163231268	0.260649726	0.235670908667	0.277635502667	0.430613022667	0.451147427333	0.226926830667	0.444246290667	0.452181370667	0.497869108	0.297315118667	0.265589940667	0.402611472667	0.245647828	0.374241207333	0.479749398	0.476959817333	0.286331634	0.469415712
A30	0.439376825333	0.220167702667	0.444352744667	0.340110812	0.254139669333	0.367959006	0.351588919333	0.154961956	0.0	0.206675002	0.089590934	0.373949593333	0.187921218667	0.452286944667	0.5747419	0.497606325333	0.452428806	0.455136232	0.587974989333	0.435774867333	0.326917710667	0.371053354667	0.426568204	0.311806642	0.438619622667	0.485540867333	0.367509517333	0.277982526667	0.423864488	0.337289811333	0.393290923333	0.384897917333	0.434867660667	0.424561958	0.394302614	0.418685670667	0.323220851333	0.143910796	0.260047339333	0.208288443333	0.302398245333	0.394138253333	0.431972974	0.217757356	0.447369942667	0.447183554667	0.531079853333	0.306798224	0.274361736667	0.408043852667	0.174010221333	0.398502551333	0.490093554	0.482130412	0.305634324667	0.475805742667
B12	0.361170518	0.305204938	0.481622272	0.356440638	0.20155615	0.437184488	0.301733149333	0.194861284667	0.206675002	0.0	0.179341833333	0.45002965	0.163394120667	0.411604689333	0.497292663333	0.413056054	0.3478401	0.391396762	0.481969644667	0.425292576	0.343206202	0.448959334	0.386522154	0.265638109333	0.48388711	0.472534472	0.348789071333	0.283963835333	0.415992316667	0.2696661	0.414632658667	0.43542503	0.341073916	0.439948688	0.443863397333	0.45680379	0.373418686667	0.200828512667	0.286106008	0.310905005333	0.231511627333	0.488108363333	0.468881846667	0.214835876667	0.444639920667	0.420896731333	0.447662680667	0.331705958	0.27030024	0.432255598667	0.319521435333	0.310537024	0.410359210667	0.479282342	0.313558044	0.407982394
A12	0.42755853	0.243739734	0.456447132	0.342032254	0.244315834	0.358567605333	0.319146630667	0.131829254	0.089590934	0.179341833333	0.0	0.396198908667	0.181657006	0.452824169333	0.574749463333	0.496530852667	0.457537662667	0.459281831333	0.579042214	0.437122853333	0.327376436667	0.374861864667	0.418963688667	0.318069409333	0.457037143333	0.490696904	0.37343937	0.276232512667	0.423086038	0.32290964	0.404139294667	0.391138132667	0.433038278667	0.427976801333	0.406808788	0.425979374	0.325513614667	0.125945586	0.257893769333	0.227301328	0.305021758	0.423339587333	0.433796184	0.206640595333	0.419309227333	0.436997594	0.53067569	0.31634699	0.285028870667	0.416756696	0.216744315333	0.387304014667	0.490052238667	0.485494103333	0.306323950667	0.487894654
A16	0.292545881333	0.273411069333	0.251671822	0.254256990667	0.562010954667	0.63641877	0.658485462	0.413051022667	0.373949593333	0.45002965	0.396198908667	0.0	0.378679861333	0.32006835	0.424578534667	0.304892010667	0.36486475	0.259443612	0.421664413333	0.237769391333	0.277830765333	0.174376454667	0.649712661333	0.478974766	0.213893642667	0.272074527333	0.373237618667	0.223451490667	0.249439834667	0.455631026	0.253391139333	0.232564772	0.404494532667	0.239513806	0.178704515333	0.193619701333	0.246841652667	0.412828717333	0.265905804667	0.366967332667	0.3358935	0.155825748	0.171726018	0.528787678667	0.699136201333	0.760663722667	0.353289157333	0.251471398667	0.364266212667	0.187607344667	0.348486084	0.31201093	0.343001804667	0.305538864	0.293579331333	0.348156844
B21	0.338360869333	0.248113505333	0.434394568667	0.313980142667	0.273197049333	0.438989403333	0.358462511333	0.195321873333	0.187921218667	0.163394120667	0.181657006	0.378679861333	0.0	0.396818956667	0.481620650667	0.402421310667	0.359568551333	0.357835409333	0.492210409333	0.389312307333	0.317318690667	0.375049493333	0.419146264	0.277809294	0.413197030667	0.418973588667	0.314299616	0.218183796	0.381655864	0.284228106	0.363858039333	0.386236381333	0.344331235333	0.409961056667	0.392993512667	0.410516577333	0.332156082	0.163511744	0.22237521	0.249721083333	0.222123952	0.412530490667	0.399424660667	0.253066534667	0.469005936	0.468850228	0.44690896	0.288707681333	0.241552768667	0.390791491333	0.251763825333	0.279278128667	0.413565680667	0.438190088	0.275471739333	0.398189785333
A19	0.304962223333	0.333503663333	0.217045738667	0.160092059333	0.493657603333	0.670478468	0.567911009333	0.428497158	0.452286944667	0.411604689333	0.452824169333	0.32006835	0.396818956667	0.0	0.377511986	0.341797854	0.333003804	0.220321722	0.363191946	0.162400345333	0.195443867333	0.354162135333	0.662205380667	0.381650154667	0.250624062	0.265690816	0.325230754	0.294219154	0.125234255333	0.360503272	0.169902861333	0.16181115	0.212858337333	0.143905350667	0.198421890667	0.254228482	0.282174145333	0.458513007333	0.287500545333	0.478460817333	0.233492538	0.314746480667	0.351109828	0.497465554	0.683300324667	0.71897155	0.205189608667	0.205933156667	0.247643322667	0.202013749333	0.482107522	0.290535761333	0.122927258667	0.196071900667	0.200677961333	0.212523862
B24	0.356764301333	0.489242665333	0.415134698	0.393137661333	0.610301732	0.77660993	0.670692291333	0.541894326667	0.5747419	0.497292663333	0.574749463333	0.424578534667	0.481620650667	0.377511986	0.0	0.30734304	0.402490378	0.281092418667	0.208050646667	0.378046518	0.403880117333	0.464849653333	0.700488332	0.535551175333	0.409870525333	0.239080888667	0.386410717333	0.404026489333	0.397376670667	0.491594951333	0.456826086	0.368995058667	0.329135615333	0.443151366	0.428196060667	0.315765852	0.450837815333	0.580392862667	0.38347643	0.591007743333	0.425883336	0.449071993333	0.411627835333	0.621187633333	0.790438856	0.825835097333	0.456353606667	0.439921005333	0.452432106	0.363784872667	0.605701961333	0.38627055	0.403216836667	0.302659849333	0.449601247333	0.474019974667
A5	0.2414116	0.416634126667	0.335418603333	0.317036493333	0.501715870667	0.674383743333	0.580032247333	0.467354677333	0.497606325333	0.413056054	0.496530852667	0.304892010667	0.402421310667	0.341797854	0.30734304	0.0	0.258374159333	0.215938769333	0.248132512	0.282340174	0.327980333333	0.331548326667	0.59285066	0.439104694	0.336048085333	0.313024807333	0.355881982667	0.310723736	0.307903902667	0.41242033	0.374287238	0.32444404	0.323988986	0.356822486	0.347105707333	0.288530184	0.340367539333	0.507492733333	0.32839029	0.498900054	0.334967490667	0.340466672	0.310462382	0.527586378667	0.686104381333	0.694319630667	0.358471193333	0.358476112	0.382754254	0.296749018	0.522164837333	0.299157862	0.320545780667	0.325174250667	0.375985782	0.3551669
